id,created_at,user_name,text,lang
1410325188735012867,2021-06-30 19:51:42+00:00,heartbreak drake,RT @SosoTheWanderer: This who y'all be hiring? @Microsoft https://t.co/tsIHkzIx1a,en
1410325169575444483,2021-06-30 19:51:37+00:00,Daniel Newman,"New Research Note: Diving beneath the surface of the @Microsoft and @Google ""Cease-Fire."" Why I believe $MSFT has m… https://t.co/LXwGyzuaFj",en
1410325116278521857,2021-06-30 19:51:24+00:00,A Buckley 🐝,"@owainroderick1 Microsoft one drive or
Google drive 

Has your tablet and laptop  both got  Bluetooth?
its slow Patience will be required",en
1410325058187186176,2021-06-30 19:51:11+00:00,Gustavo,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410325031142445060,2021-06-30 19:51:04+00:00,Angel Jesus Martin Soto,"RT @semonster66: ⚠️ Nevo vídeo en mi canal ⚠️

Semons Channel:
🔜 https://t.co/xOCXvOu4Ag

🎮 Silent Hill volvería con Bloober Team (Ahora no…",es
1410325001660780544,2021-06-30 19:50:57+00:00,darsden,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410324981297430536,2021-06-30 19:50:52+00:00,Mark,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410324951840825348,2021-06-30 19:50:45+00:00,♇antsu,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410324889819561991,2021-06-30 19:50:30+00:00,JMttn,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410324881934221314,2021-06-30 19:50:29+00:00,Precursor,"RT @satyanadella: As the world recovers from COVID-19, skilling displaced workers will be more important than ever. These stories are inspi…",en
1410324791572275202,2021-06-30 19:50:07+00:00,deanfx,"Xcloud is pretty nice, and I will definitely use it while I am on my trip; but I am definitely anxious to seeing th… https://t.co/m6kFGxXeNo",en
1410324721330266116,2021-06-30 19:49:50+00:00,Dr Ian McDonald.,"RT @satyanadella: As the world recovers from COVID-19, skilling displaced workers will be more important than ever. These stories are inspi…",en
1410324687754829830,2021-06-30 19:49:42+00:00,SlyOne123,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410324656918351873,2021-06-30 19:49:35+00:00,David fenton,"RT @infrarogue89: I feel bad for Sony…

I think they wanted the Housemarque acquisition to be this huge announcement that would break the i…",en
1410324573896077313,2021-06-30 19:49:15+00:00,UTeach Dallas,"Have any questions about UTeach Dallas? Don't be afraid to ask! 
Students will be on Teams to answer all your ??s t… https://t.co/Rrg1ooWNTT",en
1410324543223209984,2021-06-30 19:49:08+00:00,Barbaric Disciple,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410324532921921536,2021-06-30 19:49:05+00:00,Las Vegas Azure User Group,RT @BoppudiSarath: VPN NAT now in public preview. Azure VPN Gateway NAT (Network Address Translation) can be used to connect on-premises ne…,en
1410324505466126346,2021-06-30 19:48:59+00:00,CallCabinet,"CallCabinet CEO, Ryan Kahan, reviews 9 essential questions you should be able to answer before choosing a… https://t.co/agQKZjEcBo",en
1410324458926055425,2021-06-30 19:48:48+00:00,Jaime Teevan,Why I like remote collaboration: I've gotten to work with Abi more closely than ever before. Why I'm looking forwar… https://t.co/FNWvM093XI,en
1410324403460743168,2021-06-30 19:48:35+00:00,Sarath Boppudi,VPN NAT now in public preview. Azure VPN Gateway NAT (Network Address Translation) can be used to connect on-premis… https://t.co/260JvVMsgo,en
1410324362243284997,2021-06-30 19:48:25+00:00,0DDJ0BB aka an Infosec God,"@irestartpcs @Microsoft To be fair, i dont trust microsoft to know how to always distinguish between the two. 

Wal… https://t.co/hTE8Kofurq",en
1410324340139302924,2021-06-30 19:48:19+00:00,Ashley Stephens,"Wouldn't be the end of an academic year without sitting exams! 🤔

Massive thank you @CertMatters with 4 Exams ✅ in… https://t.co/TM2kyZcvHt",en
1410324319675326467,2021-06-30 19:48:15+00:00,Missy,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410324293943119873,2021-06-30 19:48:08+00:00,Matt,"RT @eevee: ④ my main objection here is that a large amount of open source code is being vacuumed up and turned into a commercial, proprieta…",en
1410324271679873034,2021-06-30 19:48:03+00:00,idk,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410324268605452295,2021-06-30 19:48:02+00:00,Eddie Sykes,RT @digitalfoundry: Scarlet Nexus tested on PlayStation 5 and Xbox Series consoles. Unreal Engine 4 gets an impressive work-out - but do th…,en
1410324235277455363,2021-06-30 19:47:54+00:00,Anthony Skeen,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410324227656388609,2021-06-30 19:47:53+00:00,Elliot,@Jay12678 The difference being Microsoft advertise indie games in a variety of ways which are affordable or even pr… https://t.co/5wT0z1LUAp,en
1410324170831974400,2021-06-30 19:47:39+00:00,Rosanna Cantavella,"RT @eevee: ④ my main objection here is that a large amount of open source code is being vacuumed up and turned into a commercial, proprieta…",en
