id,created_at,user_name,text,lang
1399449902938308623,2021-05-31 19:37:12+00:00,Blade1017,RT @IGN: Starfield will reportedly be an Xbox and PC exclusive in the wake of Microsoft's acquisition of Bethesda. https://t.co/XmExG2mVvw…,en
1399449901268975618,2021-05-31 19:37:11+00:00,That one chick,I will be opening a case with the FTC for consumer fraud. @Microsoft  #MicrosoftStealsFromKids #MicrosoftFraud,en
1399449832259919872,2021-05-31 19:36:55+00:00,kurtsh,"RT @SharePoint: Bring your Microsoft Viva questions to this AMA on June 23, at 9:00 AM PT. Members of the Viva team will be on hand to resp…",en
1399449733102440454,2021-05-31 19:36:31+00:00,Adam Hannan,@jakemeyers2015 @Jacob_417 @OHsnapGame @IGN @PlayStation Why do you think Microsoft forked out nearly $8 billion fo… https://t.co/3ih66EsyYZ,en
1399449706619719682,2021-05-31 19:36:25+00:00,Chris Merchant,"@crankygerry @brianmoore666 In the US, I have been shown around the Microsoft campus in Redmond virtually every tim… https://t.co/4WmAqqLu9x",en
1399449646582407175,2021-05-31 19:36:10+00:00,john phillips,@TheRock @steveaustinBSR  @WWEUniverse  @JohnCena #psndown @Microsoft @playstation @starwars @FansofLivePd  @Dell… https://t.co/nNyrGZguM7,en
1399449430181486594,2021-05-31 19:35:19+00:00,CountDestroyer| #Bitcoin,"RT @NiceHashMining: Cryptocurrencies and mining should be user friendly and encouraging, not scary and complicated. This is why we are runn…",en
1399449089155244038,2021-05-31 19:33:58+00:00,Landy1264,RT @seakrauts: I'm now streaming on Twitch! Playing Microsoft Flight Simulator https://t.co/CCmPZ276TG,en
1399449069668515847,2021-05-31 19:33:53+00:00,BlackEve,"Hier ein tip-top-Tipp für alle Computermäuse und Klammeraffen da draußen:
Wenn ihr gerne mal #Netflix am PC schaut… https://t.co/gmIs1qtpPL",de
1399448617816109066,2021-05-31 19:32:05+00:00,Eric Johnson (EricJ) Author,"Yes Twitter I would  love to go to the link that I'm RTing. However, @Microsoft won't fix their Win10 bug where I c… https://t.co/Rt45fLjAyX",en
1399448570512748546,2021-05-31 19:31:54+00:00,Lilliana Bright || not toh spoiler free 🔥✨,RT @DailyKiana_: I feel like this sounded like a “my dad works at Microsoft” post lol here’s what he actually said https://t.co/IcC1xdXZmj…,en
1399448375737659405,2021-05-31 19:31:07+00:00,LEGO ® Ficker,microsoft word might be the most trash program ever made,en
1399448314630881291,2021-05-31 19:30:53+00:00,␛⟦1;91mDustin Howett␛⟦m,"Lazytwitter request: does anyone have a VT340, VT330 or VT382? Would you be willing to help out one of Windows Term… https://t.co/NZiBSf7ncs",en
1399448087270207489,2021-05-31 19:29:59+00:00,Carlos Sanchez Dguez,"Microsoft actualiza la aplicacion tu telefono en windows 10 aqui las nov... https://t.co/j4eM1Qnw3r 

Suscribete al… https://t.co/5d1Ii1o1gj",es
1399447880113569795,2021-05-31 19:29:09+00:00,Maria Rivas-McMillan,https://t.co/tqwwvlyUoE wants to be the spreadsheet of the future https://t.co/VFGmv2TWGT,en
1399447768977006592,2021-05-31 19:28:43+00:00,FORA RENATO GAUCHO ᶜʳᶠ,"RT @NiceHashMining: Cryptocurrencies and mining should be user friendly and encouraging, not scary and complicated. This is why we are runn…",en
1399447758206087168,2021-05-31 19:28:40+00:00,Barbee,"@Microsoft you gonna hook me up, so I can get the show on the next-gen? I’m still pissed off about all of the PS4 u… https://t.co/j9NWnCeKVc",en
1399447679273365505,2021-05-31 19:28:21+00:00,MaxPower1xp,"RT @NiceHashMining: Cryptocurrencies and mining should be user friendly and encouraging, not scary and complicated. This is why we are runn…",en
1399447638936850436,2021-05-31 19:28:12+00:00,Steve,"RT @NiceHashMining: Cryptocurrencies and mining should be user friendly and encouraging, not scary and complicated. This is why we are runn…",en
1399447559370838019,2021-05-31 19:27:53+00:00,NiceHash,"Cryptocurrencies and mining should be user friendly and encouraging, not scary and complicated. This is why we are… https://t.co/yOEje9e3yQ",en
1399447366126780416,2021-05-31 19:27:07+00:00,Chad,@yuiojhn @itzjeremy @Six1Eye @xMBGx That's literally paying to keep well known ips off another console. Paying to h… https://t.co/GETev1QEVO,en
1399447270135898115,2021-05-31 19:26:44+00:00,💫 Andrea Tinjacá 💙,"#TrabajoSiHay 
Estas buscando una oferta que te permita generar ingresos. 😁📞
Conéctate a las 9:00 am… https://t.co/NdPyGCjuP0",es
1399447146567507968,2021-05-31 19:26:14+00:00,Harry Kimpel ☁,"RT @SQLSuperGuru: I am excited to present my talk ""Text Mining &amp; Sentiment Analysis made easy"" at the #Edmonton #Canada #Microsoft #DataPro…",en
1399446850369822721,2021-05-31 19:25:04+00:00,SyntaxError,"RT @SQLSuperGuru: I am excited to present my talk ""Text Mining &amp; Sentiment Analysis made easy"" at the #Edmonton #Canada #Microsoft #DataPro…",en
1399446813581754370,2021-05-31 19:24:55+00:00,Automate.io,Be ready for your next meeting by sending an automated summary from @Outlook Calendar to @NotionHQ before the event… https://t.co/dtTgtC2dQW,en
1399446709269254147,2021-05-31 19:24:30+00:00,Jeremy Howard,"RT @random_walker: While I'm sure this is impressive work, conflating mathematical statements with empirical claims is a category error tha…",en
1399446616549986307,2021-05-31 19:24:08+00:00,Allen Evans,"RT @SQLSuperGuru: I am excited to present my talk ""Text Mining &amp; Sentiment Analysis made easy"" at the #Edmonton #Canada #Microsoft #DataPro…",en
1399446599449853952,2021-05-31 19:24:04+00:00,realrubberduckdev,"RT @SQLSuperGuru: I am excited to present my talk ""Text Mining &amp; Sentiment Analysis made easy"" at the #Edmonton #Canada #Microsoft #DataPro…",en
1399446474694434819,2021-05-31 19:23:34+00:00,Robert Petersen,"Bethesda exclusive Xbox games is great for Microsoft, but this is Bethesda…are any of those big games going to be in less than two years?",en
